node;coord_x;coord_y;type
stairs_left;0;6;stairs
stairs_left_conn;0;0;conn
F4.27;2;4;room
F4.27_c;2;0;corridor
F4.26;5;2;room
F4.26_c;5;0;corridor
F4.25;8;2;room
F4.25_c;8;0;corridor
F4.24;11;2;room
F4.24_c;11;0;corridor
F4.23;14;2;room
F4.23_c;14;0;corridor
F4.22;17;2;room
F4.22_c;17;0;corridor
F4.20;20;5;room
F4.20_c;20;3;corridor
F4.20_conn;20;0;conn
door_left;21;3;door
TOILETTE;25;1;TOILETTE
AUFZUG;30;1;AUFZUG
F4;28;6;stairs
door_right;35;3;door
F4.08;37;5;room
F4.01;37;1;room
F4.01_F4.08_c;37;3;corridor
F4.07;40;5;room
F4.02;40;1;room
F4.02_F4.07_c;40;3;corridor
F4.06;43;5;room
F4.03;43;1;room
F4.03_F4.06_c;43;3;corridor
F4.05;46;6;room
F4.04;46;0;room
F4.04_F4.05_c;46;3;corridor
stairs_right_conn;48;3;conn
stairs_right;48;8;stairs
