source;target;weight;description
TOILETTE;stairs_middle;6;Verlasse die Toilette, gehe 6 Schritte geradeaus und biege nach rechts ab. Die Stiegen befinden sich dann links vor dir.
stairs_middle;TOILETTE;6;Von den Stiegen aus, gehe 6 Schritte geradeaus und biege nach rechts ab. Die Toilette ist dann direkt links von dir.
TOILETTE;AUFZUG;6;Verlasse die Toilette und biege gleich nach rechts ab. Gehe 6 Schritte geradeaus. Der Aufzug befindet sich auf deiner rechten Seite.
AUFZUG;TOILETTE;6;Verlasse den Aufzug und biege gleich nach links ab. Gehe 6 Schritte geradeaus. Die Toilette befindet sich auf deiner linken Seite.
stairs_middle;AUFZUG;6;Verlasse die Treppe und gehe 6 Schritte geradeaus. Der Aufzug befindet sich dann vor dir.
AUFZUG;stairs_middle;6;Verlasse den Aufzug und gehe 6 Schritte geradeaus zur Treppe.
stairs_middle;door_right;6;Verlasse die Treppe und gehe 6 Schritte geradeaus, indem du dich links hälst. Die Tür befindet sich dann rechts am Ende des Korridors.
door_right;stairs_middle;6;Von der Tür aus, gehe 6 Schritte geradeaus zur Treppe, indem du dich rechts hälst.
TOILETTE;door_right;11;Verlasse die Toilette, biege gleich nach rechts ab und gehe dann 11 Schritte geradeaus zur Tür.
door_right;TOILETTE;11;Von der Tür aus, gehe 11 Schritte geradaus, um die Toilette zu erreichen. Die Toilette befindet sich auf deiner linken Seite.
AUFZUG;door_right;5;Verlasse den Aufzug, biege nach rechts ab und gehe dann 5 Schritte geradeaus zur Tür.
door_right;AUFZUG;5;Von der Tür aus, biege gleich nach links ab und gehe 5 Schritte geradaus zum Aufzug. Der Aufzug befindet sich auf deiner linken Seite.
door_right;F3.01_F3.02_c;4;Im Korridor gehe 4 Schritte geradeaus.
F3.01_F3.02_c;door_right;4;Von der Kreuzung aus, gehe 4 Schritte nach vorne zur Tür vor dir.
F3.01;F3.01_F3.02_c;3;Verlasse den Raum F3.01 und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.01_F3.02_c;F3.01;3;Von der Korridorkreuzung aus, gehe 3 Schritte geradeaus und öffne die Tür direkt vor dir, um in den Raum F3.01 zu gelangen.
F3.02;F3.01_F3.02_c;2;Verlasse den Raum F3.02 und gehe 2 Schritte geradeaus, um in den Korridor zu gelangen.
F3.01_F3.02_c;F3.02;2;Von der Korridorkreuzung aus, biege nach rechts ab und gehe 2 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.02 zu gelangen.
F3.02;F3.02_F3.10_c;2;Verlasse den Raum F3.02 und gehe 2 Schritte geradeaus, um in den Korridor zu gelangen.
F3.02_F3.10_c;F3.02;3;Von der Korridorkreuzung aus, gehe 3 Schritte geradeaus und öffne die Tür direkt vor dir, um in den Raum F3.02 zu gelangen.
F3.01_F3.02_c;F3.02_F3.10_c;3;Im Korridor gehe 2 Schritte geradeaus.
F3.02_F3.10_c;F3.01_F3.02_c;2;Im Korridor gehe 2 Schritte geradeaus.
F3.10;F3.02_F3.10_c;2;Verlasse den Raum F3.10, biege nach rechts ab und gehe 2 Schritte geradeaus, um in den Korridor zu gelangen.
F3.02_F3.10_c;F3.10;3;Von der Korridorkreuzung aus, gehe 3 Schritte nach vorne, halte dich auf der linken Seite und öffne die Tür direkt vor dir, um in den Raum F3.10 zu gelangen.
F3.02_F3.10_c;F3.03;2;Von der Korridorkreuzung aus, gehe 2 Schritte geradeaus und öffne die Tür direkt vor dir, um in den Raum F3.03 zu gelangen.
F3.03;F3.02_F3.10_c;2;Verlasse den Raum F3.03 und gehe 2 Schritte geradeaus, um in den Korridor zu gelangen.
F3.02_F3.10_c;F3.04_F3.07_F3.08_c;5;Im Korridor gehe 5 Schritte geradeaus.
F3.04_F3.07_F3.08_c;F3.02_F3.10_c;5;Im Korridor gehe 5 Schritte geradeaus.
F3.02_F3.10_c;F3.09;2;Von der Korridorkreuzung aus, biege nach links ab und gehe 2 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.09 zu gelangen.
F3.09;F3.02_F3.10_c;2;Verlasse den Raum F3.09 und gehe 2 Schritte geradeaus, um in den Korridor zu gelangen.
F3.03;F3.04_F3.07_F3.08_c;3;Verlasse den Raum F3.03 und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.04_F3.07_F3.08_c;F3.03;3;Von der Korridorkreuzung aus, biege nach links ab und gehe 3 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.03 zu gelangen.
F3.08;F3.04_F3.07_F3.08_c;3;Verlasse den Raum F3.08 und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.04_F3.07_F3.08_c;F3.08;3;Von der Korridorkreuzung aus, gehe 3 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.08 zu gelangen.
F3.04;F3.04_F3.07_F3.08_c;2;Verlasse den Raum F3.04 und gehe 2 Schritte geradeaus, um in den Korridor zu gelangen.
F3.04_F3.07_F3.08_c;F3.04;2;Von der Korridorkreuzung aus, gehe 2 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.04 zu gelangen.
F3.04_F3.07_F3.08_c;F3.09;3;Von der Korridorkreuzung aus, gehe 3 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.09 zu gelangen.
F3.09;F3.04_F3.07_F3.08_c;3;Verlasse den Raum F3.09 und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.04_F3.07_F3.08_c;F3.07;3;Von der Korridorkreuzung aus, gehe 3 Schritte geradeaus und halte dich der linken Seite. Öffne die Tür direkt vor dir, um in den Raum F3.07 zu gelangen.
F3.07;F3.04_F3.07_F3.08_c;3;Verlasse den Raum F3.07 und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.04_F3.07_F3.08_c;F3.06_c;7;Im Korridor gehe 7 Schritte geradeaus.
F3.06_c;F3.04_F3.07_F3.08_c;7;Im Korridor gehe 7 Schritte geradeaus.
F3.07;F3.06_c;3;Verlasse den Raum F3.07, biege nach links ab und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.06_c;F3.07;3;Von der Korridorkreuzung aus, gehe 3 Schritte geradeaus und halte dich der rechten Seite. Öffne die Tür direkt vor dir, um in den Raum F3.07 zu gelangen.
F3.06;F3.06_c;3;Verlasse den Raum F3.06 und gehe 3 Schritte geradeaus, um in den Korridor zu gelangen.
F3.06_c;F3.06;3;Von der Korridorkreuzung aus und gehe 3 Schritte geradeaus. Öffne die Tür direkt vor dir, um in den Raum F3.06 zu gelangen.
F3.06_c;stairs_right_conn;2;Im Korridor gehe 2 Schritte geradeaus und biege nach rechts ab.
stairs_right_conn;F3.06_c;2;Nachdem du rechts abgebogen bist, gehe im Korridor 2 Schritte geradeaus.
stairs_right_conn;stairs_right;4;Im Korridor gehe 4 Schritte geradeaus bis zum Ende des Korridors. Rechts von dir befindet sich die Treppe.
stairs_right;stairs_right_conn;4;Nachdem du die Treppe verlassen hast, biege nach links ab und gehe 4 Schritte geradeaus.
